DATE_,Site,Diver,AdJuv,Segment,Taxon,SegArea,Count,MinSize,MaxSize,MinDead,MaxDead,RecentDead,DZ_COND,COMMENTS
4/20/2022,RR-1,CSC,Adult,10,MCAP,2.5,17,8,67,0,40,,,
4/20/2022,RR-1,CSC,Adult,10,PLOB,2.5,3,16,22,15,60,,5%- SGA,
4/20/2022,RR-1,CSC,Adult,10,PMEA,2.5,2,6,18,20,90,,100%/2-BLE,
4/20/2022,RR-1,CSC,Adult,10,MPAT,2.5,7,12,62,1,20,,,
4/20/2022,RR-1,CSC,Juv,10,MCAP,1,2,2,3,0,0,0,,
4/20/2022,RR-2,CSC,Adult,10,PLOB,2.5,7,8,68,10,80,10-Mar,FS,
4/20/2022,RR-2,CSC,Adult,10,MPAT,2.5,16,6,75,0,60,10-Feb,"FS,GAST",
4/20/2022,RR-2,CSC,Adult,10,PMEA,2.5,5,15,40,0,96,5-Mar,"FS,GAST",
4/20/2022,RR-2,CSC,Adult,10,PGRA,2.5,1,25,25,20,20,5,FS,
4/20/2022,RR-2,CSC,Adult,10,PCOM,2.5,1,25,25,20,20,5,FS,
4/20/2022,RR-2,CSC,Adult,10,PVAR,2.5,1,80,80,60,60,,,
4/20/2022,RR-2,CSC,Juv,10,PBER,1,1,4,4,0,0,0,,
4/19/2022,TR-1,NBO,Adult,5,PMEA,2.5,1,25,25,5,5,1,FISH,JC did last 0.5m of segment
4/19/2022,TR-1,NBO,Adult,5,MPAT,2.5,11,11,63,2,15,0-5,PUS?,
4/19/2022,TR-1,NBO,Adult,5,PLOB,2.5,8,5,55,0,90,0-3,FISH,
4/19/2022,TR-1,NBO,Adult,5,PDUE,2.5,1,11,11,5,5,0,,
4/19/2022,TR-1,NBO,Adult,5,MCAP,2.5,5,8,33,0,10,0,5% SGA,
4/19/2022,TR-2,NBO,Adult,15,PMEA,2.5,6,7,43,5,50,10-May,5% FUG,
4/19/2022,TR-2,NBO,Adult,15,MCAP,2.5,7,8,35,5,15,20-30,DZGN,"Looked like COTS but no other indicators of COTS found,"
4/19/2022,TR-2,NBO,Adult,15,MPAT,2.5,11,8,41,3,20,0,,
4/19/2022,TR-2,NBO,Adult,15,PLOB,2.5,4,6,24,3,45,0,,
4/19/2022,TR-2,NBO,Adult,15,PVAR,2.5,4,6,31,10,80,,,
4/19/2022,TR-2,NBO,Adult,15,CYPS,2.5,1,,,,,,,Recorded by BH
4/19/2022,TR-2,NBO,Juv,15,MCAP,1,2,1,1.5,,,,,
4/19/2022,TR-2,NBO,Juv,15,PVAR,1,1,4.5,4.5,,,,,
4/20/2022,RR-1,NBO,Adult,0,MCAP,2.5,7,8,69,2,15,20-Feb,FISH,
4/20/2022,RR-1,NBO,Adult,0,MPAT,2.5,7,10,43,3,85,5-Mar,GAST,
4/20/2022,RR-1,NBO,Adult,0,PLOB,2.5,9,8,26,5,20,10-May,TLS/FUG/5% PRS/DAMG,
4/20/2022,RR-1,NBO,Adult,0,LBEW,2.5,1,8,8,0,0,0,,
4/20/2022,RR-1,NBO,Adult,0,PVAR,2.5,1,7,7,0,0,0,,
4/20/2022,RR-1,NBO,Adult,0,PMEA,2.5,2,10,37,10,15,0,,
4/20/2022,RR-1,NBO,Juv,0,MCAP,1,1,3.5,3.5,0,0,0,,
4/20/2022,RR-1,NBO,Juv,0,PLOB,1,1,3.5,3.5,0,0,0,,
4/20/2022,RR-2,NBO,Adult,15,PGRA,2.5,1,36,36,0,0,5,FUG,
4/20/2022,RR-2,NBO,Adult,15,PLUT,2.5,3,6,7,3,10,0,,
4/20/2022,RR-2,NBO,Adult,15,MPAT,2.5,7,10,35,5,80,5-Feb,FISH/PUS?,
4/20/2022,RR-2,NBO,Adult,15,PLOB,2.5,3,18,48,5,50,0-3,FISH,
4/20/2022,RR-2,NBO,Adult,15,PMEA,2.5,3,7,20,0,25,5-Feb,DAMG,
4/20/2022,RR-2,NBO,Adult,15,PDUE,2.5,1,47,47,85,85,0,,
4/20/2022,RR-2,NBO,Juv,15,PSSP,1,1,3.5,3.5,0,0,0,,
4/20/2022,RR-1,JE,Adult,15,MPAT,2.5,6,14,120,0,0,0,,
4/20/2022,RR-1,JE,Adult,15,MCAP,2.5,6,35,87,0,30,0,SGA/BLE,
4/20/2022,RR-1,JE,Adult,15,PLOB,2.5,3,14,43,0,15,0,,
4/20/2022,RR-1,JE,Adult,15,PMEA,2.5,1,16,16,75,75,0,BLE,
4/20/2022,RR-1,JE,Adult,15,PLUT,2.5,1,53,53,0,0,2,PRED,
4/20/2022,RR-1,JE,Juv,15,POSP,1,1,5,5,0,0,0,,
4/20/2022,RR-2,JE,Adult,5,PMEA,2.5,7,8,37,0,75,0-5,BLE/PRED/PRED FISH,
4/20/2022,RR-2,JE,Adult,5,PLOB,2.5,1,37,37,35,35,,Tubeworm infestation,
4/20/2022,RR-2,JE,Adult,5,PLUT,2.5,2,52,142,20,30,0,,
4/20/2022,RR-2,JE,Adult,5,PBER,2.5,1,3,3,0,0,0,,
4/20/2022,RR-2,JE,Adult,5,PVAR,2.5,1,19,19,80,80,0,PALY overgrowth,
4/20/2022,RR-2,JE,Adult,5,PDUE,2.5,1,11,11,30,30,0,,
4/20/2022,RR-2,JE,Adult,5,MPAT,2.5,4,17,150,0,30,0,,
4/20/2022,RR-2,JE,Adult,5,PGRA,2.5,1,41,41,7,7,5,PRED,
4/20/2022,RR-2,JE,Adult,5,MCAP,2.5,2,36,42,10,70,0,,
4/13/2022,REA_038,JE,Adult,0,PVAR,2.5,5,8,52,0,80,0,,
4/13/2022,REA_038,JE,Adult,0,PMEA,2.5,8,12,48,0,70,0-15,"PRED, BLE",
4/13/2022,REA_038,JE,Adult,0,MPAT,2.5,3,16,65,0,30,0,,
4/13/2022,REA_038,JE,Juv,0,PBER,1,2,3,4,0,0,0,,
4/13/2022,REA_038,JE,Juv,0,PMEA,1,2,3,5,0,0,0,,
4/13/2022,REA_038,JE,Adult,10,MCAP,2.5,1,41,41,5,5,0,,
4/13/2022,REA_038,JE,Adult,10,MPAT,2.5,6,49,95,0,15,0,BLE,
4/13/2022,REA_038,JE,Adult,10,PMEA,2.5,4,35,50,0,25,0,,
4/13/2022,REA_038,JE,Adult,10,PVAR,2.5,2,23,25,0,40,0,,
4/13/2022,REA_038,JE,Adult,10,PLOB,2.5,3,26,110,0,35,20-May,,
4/13/2022,REA_038,JE,Adult,15,MCAP,2.5,3,20,56,0,10,0,,
4/13/2022,REA_038,JE,Adult,15,MPAT,2.5,3,25,120,0,10,0-25,"PRED, GAST",
4/13/2022,REA_038,JE,Adult,15,PLUT,2.5,1,27,27,0,0,0,,
4/13/2022,REA_038,JE,Adult,15,PMEA,2.5,2,17,32,0,70,0,,
4/13/2022,REA_038,JE,Adult,15,PMAL,2.5,2,12,21,0,0,0,BLE,
4/13/2022,REA_038,JE,Adult,15,PVAR,2.5,1,41,41,15,0,0,,
4/13/2022,REA_038,JE,Adult,15,PLOB,2.5,1,35,25,25,0,0,,
4/13/2022,REA_038,MA,Adult,0,MPAT,2.5,10,8,55,0,50,0,,
4/13/2022,REA_038,MA,Adult,0,PMEA,2.5,8,6,28,0,60,0-5,"TLS, FISH",
4/13/2022,REA_038,MA,Adult,0,PVAR,2.5,3,10,23,2,60,0-5,DAMG,
4/13/2022,REA_038,MA,Juv,0,PBER,1,4,2,4,0,0,0,,
4/13/2022,REA_038,MA,Adult,0,FUSP,2.5,1,12,12,0,0,0,BLE,
4/13/2022,REA_038,MA,Adult,10,MPAT,2.5,15,9,135,2,35,0,,
4/13/2022,REA_038,MA,Adult,10,PMEA,2.5,4,13,30,0,30,0-2,TLS,
4/13/2022,REA_038,MA,Adult,10,PVAR,2.5,2,12,21,2,20,0,,
4/13/2022,REA_038,MA,Adult,10,PLOB,2.5,2,31,90,35,60,0-3,DAMG,
4/13/2022,REA_038,MA,Adult,10,MCAP,2.5,1,41,10,0,0,0,,
4/13/2022,REA_038,MA,Juv,10,MPAT,1,3,1,2,0,0,0,,
4/13/2022,REA_038,MA,Juv,10,PMEA,1,1,2,2,0,0,0,,
4/13/2022,REA_038,MA,Adult,15,MPAT,2.5,12,6,105,0,15,0-10,GAST,
4/13/2022,REA_038,MA,Adult,15,MCAP,2.5,4,9,50,2,15,0,,
4/13/2022,REA_038,MA,Adult,15,PLOB,2.5,3,9,35,0,45,0-2,FISH,
4/13/2022,REA_038,MA,Adult,15,PMEA,2.5,2,16,30,0,0,0,,
4/13/2022,REA_038,MA,Adult,15,PMAL,2.5,2,6,20,0,30,0,,
4/13/2022,REA_038,MA,Adult,15,PVAR,2.5,1,21,21,10,10,0,,
4/13/2022,REA_038,MA,Juv,15,PBER,1,1,2,2,0,0,0,,
4/13/2022,REA_038,DTP,Adult,5,MPAT,2.5,14,15,70,0,15,0,,
4/13/2022,REA_038,DTP,Adult,5,PMEA,2.5,9,10,30,0,70,0-30,"TLS, FISH, GAST",
4/13/2022,REA_038,DTP,Adult,5,PVAR,2.5,4,8,15,0,10,0,,
4/13/2022,REA_038,DTP,Adult,5,MCAP,2.5,3,7,40,0,5,0,,
4/13/2022,REA_038,DTP,Adult,5,PLOB,2.5,4,15,50,0,20,0-5,"FISH, SGA",
4/13/2022,REA_038,DTP,Adult,5,PDUE,2.5,1,27,27,60,60,0,,
4/13/2022,REA_038,DTP,Juv,5,PBER,1,1,2.5,2.5,0,0,0,,
4/13/2022,REA_038,DTP,Adult,10,MPAT,2.5,16,10,70,0,40,0,,
4/13/2022,REA_038,DTP,Adult,10,PVAR,2.5,2,10,15,0,20,0,,
4/13/2022,REA_038,DTP,Adult,10,PMEA,2.5,6,15,30,0,20,0,BLE,
4/13/2022,REA_038,DTP,Adult,10,PLOB,2.5,2,30,85,10,40,10,"TLS, FISH",
4/13/2022,REA_038,DTP,Adult,10,MCAP,2.5,1,35,35,10,10,0,,
4/13/2022,REA_038,DTP,Juv,10,MPAT,1,2,1,2,0,0,0,,
4/13/2022,REA_038,DTP,Juv,10,PMEA,1,1,2,2,0,0,0,,
4/19/2022,TR-1,JC,Adult,0,MCAP,2.5,5,9,34,0,30,0-3,GAST,
4/19/2022,TR-1,JC,Adult,0,MPAT,2.5,11,7,80,1,10,0,,
4/19/2022,TR-1,JC,Adult,0,PLOB,2.5,3,5,23,0,8,0,5% PRS,
4/19/2022,TR-1,JC,Adult,0,PLUT,2.5,1,21,21,3,3,5,GAST,
4/19/2022,TR-1,JC,Adult,0,POSP,2.5,1,40,40,30,30,0,,
4/19/2022,TR-1,JC,Juv,0,PBER,1,2,1,3,0,0,0,,
4/19/2022,TR-1,JC,Juv,0,MCAP,1,2,3,3,0,0,0,,
4/19/2022,TR-2,JC,Adult,10,PMEA,2.5,7,9,25,10,99,0-2,"15% BLE-2, FISH, GAST",
4/19/2022,TR-2,JC,Adult,10,PGRA,2.5,1,18,18,0,0,1,FISH,
4/19/2022,TR-2,JC,Adult,10,MPAT,2.5,14,7,56,0,50,0,,
4/19/2022,TR-2,JC,Adult,10,MCAP,2.5,4,15,52,0,85,0,,
4/19/2022,TR-2,JC,Adult,10,PVAR,2.5,1,28,28,70,70,0,,
4/19/2022,TR-2,JC,Adult,10,CYPS,2.5,1,6,6,2,2,0,,
4/19/2022,TR-2,JC,Juv,10,MCAP,1,3,2.5,4.5,0,0,0,,
4/19/2022,TR-2,JC,Juv,10,PBER,1,1,1,1,0,0,0,,
4/19/2022,TR-2,JC,Juv,10,PMEA,1,2,2,4,0,0,0,,
4/20/2022,RR-1,DTP,Adult,5,MCAP,2.5,17,7,55,0,20,5,PRED,
4/20/2022,RR-1,DTP,Adult,5,MPAT,2.5,7,15,50,0,10,0,SGA,
4/20/2022,RR-1,DTP,Adult,5,PLOB,2.5,5,10,30,0,25,40,TLS,
4/20/2022,RR-1,DTP,Adult,5,PMEA,2.5,4,7,27,0,60,20,"GAST, BLE, TLS",
4/20/2022,RR-1,DTP,Juv,5,PMEA,1,4,2,5,0,0,0,,
4/20/2022,RR-1,DTP,Juv,5,MPAT,1,1,3,3,0,0,0,,
4/20/2022,RR-2,DTP,Adult,0,MPAT,2.5,11,8,45,0,60,15,GAST,
4/20/2022,RR-2,DTP,Adult,0,PLOB,2.5,1,45,45,30,30,5,FISH,
4/20/2022,RR-2,DTP,Adult,0,PMEA,2.5,4,15,40,0,90,10,"GAST, FISH, BLE-2",
4/20/2022,RR-2,DTP,Adult,0,PDUE,2.5,2,10,15,0,20,0,,
4/20/2022,RR-2,DTP,Juv,0,PBER,1,3,2,4,0,0,0,,
4/19/2022,TR-1,BH,Adult,10,MPAT,2.5,14,6,65,1,70,0,,
4/19/2022,TR-1,BH,Adult,10,MCAP,2.5,5,23,40,1,2,0,,
4/19/2022,TR-1,BH,Adult,10,LBEW,2.5,1,16,0,0,0,0,,
4/19/2022,TR-1,BH,Adult,10,PLOB,2.5,4,6,22,0,60,0,,
4/19/2022,TR-1,BH,Adult,10,PMEA,2.5,2,16,40,0,85,0-5,DZGN,
4/19/2022,TR-1,BH,Juv,10,MPAT,1,2,2,2.5,0,0,0,,
4/19/2022,TR-1,BH,Juv,10,MCAP,1,1,3.5,3.5,0,0,0,,
4/19/2022,TR-1,CA,Adult,15,FUSP,2.5,1,13,13,1,1,0,,
4/19/2022,TR-1,CA,Adult,15,PMEA,2.5,7,7,37,0,30,10-Jan,"FISH, PRED, UNKN, BLE-2",
4/19/2022,TR-1,CA,Adult,15,MCAP,2.5,4,20,80,4,40,0,,
4/19/2022,TR-1,CA,Adult,15,MPAT,2.5,5,25,200,15,85,0,,
4/19/2022,TR-1,CA,Adult,15,POSP,2.5,1,10,10,0,0,0,,
4/19/2022,TR-1,CA,Adult,15,PLOB,2.5,1,40,40,30,30,2,FISH,
4/19/2022,TR-2,CA,Adult,5,MPAT,2.5,7,19,80,10,50,2,TLS,
4/19/2022,TR-2,CA,Adult,5,PMEA,2.5,7,13,37,0,60,5-Feb,"PRED, FISH, BLE-2",
4/19/2022,TR-2,CA,Adult,5,PVAR,2.5,3,4,90,0,40,"5, 10","TLS, FUG",4cm = Remnant
4/19/2022,TR-2,CA,Adult,5,COSP,2.5,1,107,107,50,50,0,,
4/13/2022,REA_038,TO,Adult,0,FUSP,2.5,1,11,11,0,0,,,
4/13/2022,REA_038,TO,Adult,0,MPAT,2.5,17,9,61,0,50,5-Jan,FISH,
4/13/2022,REA_038,TO,Adult,0,PBER,2.5,3,1,3,0,0,,,
4/13/2022,REA_038,TO,Adult,0,PLOB,2.5,1,32,32,30,30,,,
4/13/2022,REA_038,TO,Adult,0,PMEA,2.5,9,6,40,0,85,10-May,"GAST, TLS, FISH",
4/13/2022,REA_038,TO,Adult,0,PVAR,2.5,3,8,24,0,40,,,
4/13/2022,REA_038,TO,Adult,5,MCAP,2.5,2,8,40,2,60,10-Feb,FISH,
4/13/2022,REA_038,TO,Adult,5,MPAT,2.5,17,10,64,0,80,5-Jan,"FISH,DAMG",
4/13/2022,REA_038,TO,Adult,5,PDUE,2.5,1,25,25,40,40,,,
4/13/2022,REA_038,TO,Adult,5,PLOB,2.5,4,25,40,0,30,,SGA,
4/13/2022,REA_038,TO,Adult,5,PMEA,2.5,9,7,67,0,75,10-Feb,"FISH,TLS, BLE",
4/13/2022,REA_038,TO,Adult,5,PVAR,2.5,3,9,35,0,50,3-Feb,FISH,
4/13/2022,REA_038,TO,Juv,5,MOSP,1,1,2,2,0,0,0,,
