"","MISSIONID","DATE_","SITEVISITID","ANALYSIS_YEAR","OBS_YEAR","REGION","REGION_NAME","ISLAND","ISLANDCODE","SEC_NAME","SITE","REEF_ZONE","DEPTH_BIN","LATITUDE","LONGITUDE","MIN_DEPTH_M","MAX_DEPTH_M","HABITAT_CODE"
"1","SE1902_MHI_LEG1",2019-04-21,12601,"2019",2019,"MHI","Main Hawaiian Islands","Maui","MAI","MAI_LAHAINA","MAI-02527","Forereef","Mid",20.91302,-156.6968,8.229198415,9.143554,"AGR"
"14","SE1902_MHI_LEG1",2019-04-21,12600,"2019",2019,"MHI","Main Hawaiian Islands","Maui","MAI","MAI_LAHAINA","MAI-02515","Forereef","Deep",20.97752,-156.6863,24.07802499,27.12588,"PAV"
"15","SE1902_MHI_LEG1",2019-04-21,12602,"2019",2019,"MHI","Main Hawaiian Islands","Maui","MAI","MAI_LAHAINA","MAI-02537","Forereef","Shallow",20.87701,-156.6853,3.657421518,5.790917,"APR"
"20","SE1902_MHI_LEG1",2019-04-22,12620,"2019",2019,"MHI","Main Hawaiian Islands","Maui","MAI","MAI_LAHAINA","MAI-02530","Forereef","Mid",20.84161,-156.6572,10.97226455,11.58183,"SCR"
"21","SE1902_MHI_LEG1",2019-04-22,12612,"2019",2019,"MHI","Main Hawaiian Islands","Maui","MAI","MAI_LAHAINA","MAI-02520","Forereef","Deep",20.91426,-156.7008,23.16366961,22.24931,"PSC"
"22","SE1902_MHI_LEG1",2019-04-22,12614,"2019",2019,"MHI","Main Hawaiian Islands","Maui","MAI","MAI_LAHAINA","MAI-02541","Forereef","Shallow",20.91572,-156.6981,3.352636391,5.181347,"AGR"
"48","SE1902_MHI_LEG1",2019-04-23,12636,"2019",2019,"MHI","Main Hawaiian Islands","Maui","MAI","MAI_KIHEI","MAI-02481","Forereef","Mid",20.76712,-156.4805,15.84882658,16.15361,"AGR"
"60","SE1902_MHI_LEG2",2019-07-10,12915,"2019",2019,"MHI","Main Hawaiian Islands","Lanai","LAN","LAN_SOUTH","LAN-01814","Forereef","Mid",20.85423,-156.8203,9.143553795,11.27705,"AGR"
"62","SE1902_MHI_LEG1",2019-04-23,12634,"2019",2019,"MHI","Main Hawaiian Islands","Maui","MAI","MAI_KIHEI","MAI-02505","Forereef","Shallow",20.63135,-156.4484,3.962206644,4.266992,"PAV"
"63","SE1902_MHI_LEG1",2019-04-23,12632,"2019",2019,"MHI","Main Hawaiian Islands","Maui","MAI","MAI_KIHEI","MAI-02466","Forereef","Deep",20.72922,-156.4648,19.81103322,20.11582,"AGR"
"72","SE1902_MHI_LEG1",2019-04-22,12621,"2019",2019,"MHI","Main Hawaiian Islands","Maui","MAI","MAI_LAHAINA","MAI-02543","Forereef","Shallow",20.86118,-156.6749,4.266991771,5.486132,"AGR"
"81","SE1902_MHI_LEG1",2019-04-22,12623,"2019",2019,"MHI","Main Hawaiian Islands","Maui","MAI","MAI_LAHAINA","MAI-02534","Forereef","Shallow",20.89201,-156.6865,3.962206644,4.266992,"AGR"
"90","SE1902_MHI_LEG1",2019-04-23,12633,"2019",2019,"MHI","Main Hawaiian Islands","Maui","MAI","MAI_KIHEI","MAI-02489","Forereef","Mid",20.7034,-156.4521,10.97226455,11.88662,"AGR"
"91","SE1902_MHI_LEG1",2019-04-24,12671,"2019",2019,"MHI","Main Hawaiian Islands","Maui","MAI","MAI_KIHEI","MAI-02459","Forereef","Deep",20.79174,-156.5913,20.42060347,21.33496,"AGR"
"120","SE1902_MHI_LEG1",2019-04-25,12698,"2019",2019,"MHI","Main Hawaiian Islands","Kahoolawe","KAH","KAH_NORTH","KAH-00627","Forereef","Mid",20.58214,-156.6226,10.66747943,12.19141,"AGR"
"127","SE1902_MHI_LEG1",2019-04-25,12705,"2019",2019,"MHI","Main Hawaiian Islands","Kahoolawe","KAH","KAH_NORTH","KAH-00635","Forereef","Shallow",20.55698,-156.6736,3.962206644,4.266992,"AGR"
"128","SE1902_MHI_LEG1",2019-04-25,12696,"2019",2019,"MHI","Main Hawaiian Islands","Kahoolawe","KAH","KAH_NORTH","KAH-00619","Forereef","Deep",20.5916,-156.5489,20.11581835,20.4206,"AGR"
"130","SE1902_MHI_LEG1",2019-04-25,12697,"2019",2019,"MHI","Main Hawaiian Islands","Kahoolawe","KAH","KAH_NORTH","KAH-00659","Forereef","Mid",20.60397,-156.5829,15.84882658,15.84883,"SCR"
"148","SE1902_MHI_LEG1",2019-04-24,12672,"2019",2019,"MHI","Main Hawaiian Islands","Maui","MAI","MAI_KIHEI","MAI-02483","Forereef","Mid",20.79996,-156.6017,16.1536117,17.37275,"AGR"
"196","SE1902_MHI_LEG1",2019-04-24,12673,"2019",2019,"MHI","Main Hawaiian Islands","Maui","MAI","MAI_KIHEI","MAI-02502","Forereef","Shallow",20.80669,-156.6233,3.962206644,4.571777,"AGR"
"268","SE1902_MHI_LEG1",2019-04-26,12716,"2019",2019,"MHI","Main Hawaiian Islands","Lanai","LAN","LAN_SOUTH","LAN-01795","Forereef","Deep",20.7324,-156.9505,19.81103322,21.03017,"AGR"
"279","SE1902_MHI_LEG1",2019-04-26,12717,"2019",2019,"MHI","Main Hawaiian Islands","Lanai","LAN","LAN_SOUTH","LAN-01819","Forereef","Mid",20.74649,-156.9769,12.80097531,13.41055,"AGR"
"301","SE1902_MHI_LEG1",2019-04-27,12737,"2019",2019,"MHI","Main Hawaiian Islands","Maui","MAI","MAI_NE","MAI-02567","Forereef","Mid",20.86184,-156.1338,13.10576044,13.71533,"ROB"
"305","SE1902_MHI_LEG1",2019-04-27,12739,"2019",2019,"MHI","Main Hawaiian Islands","Maui","MAI","MAI_NE","MAI-02546","Forereef","Mid",20.90665,-156.2128,12.80097531,14.62969,"ROB"
"308","SE1902_MHI_LEG1",2019-04-27,12738,"2019",2019,"MHI","Main Hawaiian Islands","Maui","MAI","MAI_NE","MAI-02586","Forereef","Shallow",20.89625,-156.1981,5.18134715,7.314843,"ROB"
"337","SE1902_MHI_LEG1",2019-04-28,12763,"2019",2019,"MHI","Main Hawaiian Islands","Molokai","MOL","MOL_PALI","MOL-02233","Forereef","Mid",21.17679,-156.8099,17.67753734,17.98232,"ROB"
"340","SE1902_MHI_LEG1",2019-04-28,12761,"2019",2019,"MHI","Main Hawaiian Islands","Molokai","MOL","MOL_PALI","MOL-02221","Forereef","Deep",21.1816,-156.7693,22.24931423,22.85888,"ROB"
"341","SE1902_MHI_LEG1",2019-04-29,12776,"2019",2019,"MHI","Main Hawaiian Islands","Molokai","MOL","MOL_NW","MOL-02194","Forereef","Deep",21.18711,-157.0116,20.42060347,21.03017,"ROB"
"345","SE1902_MHI_LEG2",2019-07-10,12914,"2019",2019,"MHI","Main Hawaiian Islands","Lanai","LAN","LAN_SOUTH","LAN-01816","Forereef","Mid",20.8293,-156.8052,8.533983542,8.838769,"AGR"
"560","SE1902_MHI_LEG1",2019-04-23,12635,"2019",2019,"MHI","Main Hawaiian Islands","Maui","MAI","MAI_KIHEI","MAI-02461","Forereef","Deep",20.76683,-156.4787,21.94452911,22.85888,"AGR"
"620","SE1902_MHI_LEG1",2019-05-03,12861,"2019",2019,"MHI","Main Hawaiian Islands","Molokai","MOL","MOL_SOUTH","MOL-02263","Forereef","Mid",21.07906,-156.7626,15.84882658,16.15361,"PAV"
"621","SE1902_MHI_LEG1",2019-05-04,12878,"2019",2019,"MHI","Main Hawaiian Islands","Hawaii","HAW","HAW_HAMAKUA","HAW-03441","Forereef","Mid",20.06521,-155.3819,12.19140506,13.41055,"ROB"
"622","SE1902_MHI_LEG1",2019-05-04,12869,"2019",2019,"MHI","Main Hawaiian Islands","Hawaii","HAW","HAW_HAMAKUA","HAW-03451","Forereef","Mid",20.07739,-155.4036,15.23925632,16.4584,"ROB"
"634","SE1902_MHI_LEG2",2019-07-10,12912,"2019",2019,"MHI","Main Hawaiian Islands","Lanai","LAN","LAN_SOUTH","LAN-01800","Forereef","Deep",20.83869,-156.8099,19.81103322,21.94453,"AGR"
"644","SE1902_MHI_LEG1",2019-05-02,12833,"2019",2019,"MHI","Main Hawaiian Islands","Molokai","MOL","MOL_SOUTH","MOL-02266","Forereef","Mid",21.06394,-156.983,10.97226455,11.88662,"AGR"
"668","SE1902_MHI_LEG1",2019-05-06,12894,"2019",2019,"MHI","Main Hawaiian Islands","Kahoolawe","KAH","KAH_SOUTH","KAH-00663","Forereef","Shallow",20.51736,-156.5546,5.790917403,6.400488,"RRB"
"670","SE1902_MHI_LEG2",2019-07-10,12913,"2019",2019,"MHI","Main Hawaiian Islands","Lanai","LAN","LAN_NORTH","LAN-01788","Forereef","Shallow",20.86601,-156.8338,3.047851265,4.266992,"AGR"
"724","SE1902_MHI_LEG1",2019-04-29,12777,"2019",2019,"MHI","Main Hawaiian Islands","Molokai","MOL","MOL_NW","MOL-02197","Forereef","Mid",21.20291,-156.9874,15.23925632,16.4584,"ROB"
"747","SE1902_MHI_LEG1",2019-05-01,12824,"2019",2019,"MHI","Main Hawaiian Islands","Molokai","MOL","MOL_WEST","MOL-02306","Forereef","Shallow",21.08477,-157.2562,4.876562024,5.486132,"PAV"
"755","SE1902_MHI_LEG1",2019-05-01,12821,"2019",2019,"MHI","Main Hawaiian Islands","Molokai","MOL","MOL_WEST","MOL-02291","Forereef","Deep",21.19345,-157.263,23.77323987,25.29717,"PAV"
"757","SE1902_MHI_LEG1",2019-05-01,12822,"2019",2019,"MHI","Main Hawaiian Islands","Molokai","MOL","MOL_WEST","MOL-02300","Forereef","Mid",21.14721,-157.2943,16.76318196,17.37275,"PAV"
"776","SE1902_MHI_LEG1",2019-05-01,12823,"2019",2019,"MHI","Main Hawaiian Islands","Molokai","MOL","MOL_WEST","MOL-02286","Forereef","Deep",21.08406,-157.2811,19.5062481,19.50625,"PAV"
"787","SE1902_MHI_LEG2",2019-07-10,12916,"2019",2019,"MHI","Main Hawaiian Islands","Lanai","LAN","LAN_NORTH","LAN-01768","Forereef","Mid",20.86936,-156.8339,11.27704968,13.41055,"AGR"
"844","SE1902_MHI_LEG1",2019-05-04,12871,"2019",2019,"MHI","Main Hawaiian Islands","Hawaii","HAW","HAW_HAMAKUA","HAW-03445","Forereef","Shallow",20.08957,-155.4361,3.352636391,3.962207,"ROB"
"847","SE1902_MHI_LEG1",2019-05-06,12893,"2019",2019,"MHI","Main Hawaiian Islands","Kahoolawe","KAH","KAH_SOUTH","KAH-00632","Forereef","Mid",20.51349,-156.6062,12.49619019,14.93447,"RRB"
"914","SE1902_MHI_LEG2",2019-07-10,12917,"2019",2019,"MHI","Main Hawaiian Islands","Lanai","LAN","LAN_SOUTH","LAN-01829","Forereef","Shallow",20.86163,-156.8303,2.743066138,3.352636,"AGR"
"938","SE1902_MHI_LEG1",2019-05-04,12877,"2019",2019,"MHI","Main Hawaiian Islands","Hawaii","HAW","HAW_HAMAKUA","HAW-03436","Forereef","Deep",20.03042,-155.3081,21.33495885,21.94453,"ROB"
"1020","SE1902_MHI_LEG1",2019-04-22,12613,"2019",2019,"MHI","Main Hawaiian Islands","Maui","MAI","MAI_LAHAINA","MAI-02532","Forereef","Mid",20.8792,-156.691,13.71533069,14.62969,"AGR"
"1040","SE1902_MHI_LEG1",2019-05-04,12870,"2019",2019,"MHI","Main Hawaiian Islands","Hawaii","HAW","HAW_HAMAKUA","HAW-03433","Forereef","Mid",20.08813,-155.4294,8.838768668,10.66748,"ROB"
"1041","SE1902_MHI_LEG1",2019-05-02,12835,"2019",2019,"MHI","Main Hawaiian Islands","Molokai","MOL","MOL_SOUTH","MOL-02265","Forereef","Deep",21.07002,-157.0269,20.11581835,20.4206,"AGR"
"1051","SE1902_MHI_LEG1",2019-05-02,12832,"2019",2019,"MHI","Main Hawaiian Islands","Molokai","MOL","MOL_SOUTH","MOL-02254","Forereef","Deep",21.04658,-156.9395,20.11581835,20.4206,"AGR"
"1052","SE1902_MHI_LEG1",2019-05-02,12836,"2019",2019,"MHI","Main Hawaiian Islands","Molokai","MOL","MOL_SOUTH","MOL-02260","Forereef","Mid",21.08252,-157.0612,14.62968607,15.23926,"AGR"
"1202","SE1902_MHI_LEG1",2019-05-02,12837,"2019",2019,"MHI","Main Hawaiian Islands","Molokai","MOL","MOL_SOUTH","MOL-02283","Forereef","Shallow",21.08971,-157.1138,2.743066138,3.352636,"AGR"
"1211","SE1902_MHI_LEG1",2019-05-02,12834,"2019",2019,"MHI","Main Hawaiian Islands","Molokai","MOL","MOL_SOUTH","MOL-02280","Forereef","Shallow",21.08464,-157.0514,3.352636391,3.962207,"PPR"
"1249","SE1902_MHI_LEG1",2019-05-03,12864,"2019",2019,"MHI","Main Hawaiian Islands","Molokai","MOL","MOL_SOUTH","MOL-02276","Forereef","Shallow",21.05343,-156.8304,1.523925632,1.523926,"PAV"
"1256","SE1902_MHI_LEG1",2019-04-29,12778,"2019",2019,"MHI","Main Hawaiian Islands","Molokai","MOL","MOL_PALI","MOL-02240","Forereef","Shallow",21.17028,-156.931,4.876562024,6.095703,"ROB"
"1293","SE1902_MHI_LEG1",2019-05-04,12868,"2019",2019,"MHI","Main Hawaiian Islands","Hawaii","HAW","HAW_HAMAKUA","HAW-03434","Forereef","Deep",20.069,-155.3915,20.7253886,21.94453,"ROB"
"1322","SE1902_MHI_LEG1",2019-05-03,12863,"2019",2019,"MHI","Main Hawaiian Islands","Molokai","MOL","MOL_SOUTH","MOL-02255","Forereef","Mid",21.03949,-156.8427,11.27704968,11.88662,"AGR"
"1516","SE1902_MHI_LEG1",2019-05-03,12862,"2019",2019,"MHI","Main Hawaiian Islands","Molokai","MOL","MOL_SOUTH","MOL-02275","Forereef","Shallow",21.07459,-156.7759,3.047851265,3.657422,"AGR"
"1569","SE1902_MHI_LEG1",2019-05-06,12892,"2019",2019,"MHI","Main Hawaiian Islands","Kahoolawe","KAH","KAH_SOUTH","KAH-00646","Forereef","Deep",20.50115,-156.6772,21.94452911,22.24931,"RRB"
"1576","SE1902_MHI_LEG1",2019-05-06,12896,"2019",2019,"MHI","Main Hawaiian Islands","Kahoolawe","KAH","KAH_SOUTH","KAH-00672","Forereef","Deep",20.50412,-156.6407,20.42060347,21.63974,"RRB"
"1593","SE1902_MHI_LEG1",2019-05-06,12897,"2019",2019,"MHI","Main Hawaiian Islands","Kahoolawe","KAH","KAH_SOUTH","KAH-00662","Forereef","Shallow",20.51337,-156.573,5.486132277,6.095703,"ROB"
"1963","SE1902_MHI_LEG1",2019-05-06,12895,"2019",2019,"MHI","Main Hawaiian Islands","Kahoolawe","KAH","KAH_SOUTH","KAH-00608","Forereef","Mid",20.51487,-156.6941,15.84882658,16.15361,"PAV"
"2192","SE1902_MHI_LEG1",2019-05-04,12879,"2019",2019,"MHI","Main Hawaiian Islands","Hawaii","HAW","HAW_HAMAKUA","HAW-03465","Forereef","Shallow",20.05453,-155.3633,3.047851265,5.486132,"ROB"
"2981","SE1902_MHI_LEG1",2019-04-28,12762,"2019",2019,"MHI","Main Hawaiian Islands","Molokai","MOL","MOL_PALI","MOL-02227","Forereef","Mid",21.17688,-156.7764,11.58183481,11.58183,"ROB"
"3070","SE1902_MHI_LEG1",2019-04-27,12736,"2019",2019,"MHI","Main Hawaiian Islands","Maui","MAI","MAI_NE","MAI-02544","Forereef","Deep",20.85155,-156.1238,23.77323987,24.07802,"ROB"
"4761","SE1902_MHI_LEG1",2019-04-22,12622,"2019",2019,"MHI","Main Hawaiian Islands","Maui","MAI","MAI_LAHAINA","MAI-02529","Forereef","Mid",20.90868,-156.6908,7.924413289,7.924413,"PAV"
"4769","SE1902_MHI_LEG1",2019-04-28,12764,"2019",2019,"MHI","Main Hawaiian Islands","Molokai","MOL","MOL_PALI","MOL-02242","Forereef","Shallow",21.1649,-156.8659,5.486132277,5.790917,"ROB"
"4777","SE1902_MHI_LEG3",2019-07-28,13216,"2019",2019,"MHI","Main Hawaiian Islands","Kauai","KAU","KAU_EAST","KAU-02100","Forereef","Deep",22.07698,-159.2979,26.21152088,26.82109,"PAV"
"4782","SE1902_MHI_LEG3",2019-07-28,13217,"2019",2019,"MHI","Main Hawaiian Islands","Kauai","KAU","KAU_EAST","KAU-02133","Forereef","Mid",22.04095,-159.3111,17.67753734,17.98232,"PAV"
"4783","SE1902_MHI_LEG3",2019-07-29,13232,"2019",2019,"MHI","Main Hawaiian Islands","Lanai","LAN","LAN_NORTH","LAN-01789","Forereef","Mid",20.93291,-156.9613,8.229198415,8.533984,"PAV"
"4785","SE1902_MHI_LEG3",2019-07-29,13233,"2019",2019,"MHI","Main Hawaiian Islands","Lanai","LAN","LAN_NORTH","LAN-01783","Forereef","Mid",20.92362,-156.9237,9.448338921,10.97226,"AGR"
"4796","SE1902_MHI_LEG2",2019-07-11,12927,"2019",2019,"MHI","Main Hawaiian Islands","Hawaii","HAW","HAW_KONA","HAW-04263","Forereef","Mid",19.16264,-155.9148,12.19140506,12.80098,"AGR"
"4797","SE1902_MHI_LEG2",2019-07-11,12929,"2019",2019,"MHI","Main Hawaiian Islands","Hawaii","HAW","HAW_KONA","HAW-04245","Forereef","Shallow",19.04139,-155.882,3.657421518,5.486132,"ROB"
"4798","SE1902_MHI_LEG2",2019-07-12,12934,"2019",2019,"MHI","Main Hawaiian Islands","Hawaii","HAW","HAW_KONA","HAW-04252","Forereef","Deep",19.89144,-155.9099,20.42060347,21.03017,"AGR"
"4802","SE1902_MHI_LEG2",2019-07-12,12936,"2019",2019,"MHI","Main Hawaiian Islands","Hawaii","HAW","HAW_KONA","HAW-04257","Forereef","Mid",19.92087,-155.8932,9.753124048,10.66748,"AGR"
"4810","SE1902_MHI_LEG2",2019-07-12,12935,"2019",2019,"MHI","Main Hawaiian Islands","Hawaii","HAW","HAW_KONA","HAW-04272","Forereef","Mid",19.90434,-155.9062,12.80097531,14.3249,"AGR"
"4814","SE1902_MHI_LEG2",2019-07-12,12938,"2019",2019,"MHI","Main Hawaiian Islands","Hawaii","HAW","HAW_KONA","HAW-04253","Forereef","Deep",19.91259,-155.9014,18.59189272,19.20146,"AGR"
"4829","SE1902_MHI_LEG2",2019-07-12,12939,"2019",2019,"MHI","Main Hawaiian Islands","Hawaii","HAW","HAW_KONA","HAW-04267","Forereef","Mid",19.9862,-155.8354,13.41054557,14.62969,"AGR"
"4847","SE1902_MHI_LEG2",2019-07-12,12940,"2019",2019,"MHI","Main Hawaiian Islands","Hawaii","HAW","HAW_KONA","HAW-04278","Forereef","Mid",20.04418,-155.8378,9.753124048,10.05791,"SCR"
"4912","SE1902_MHI_LEG2",2019-07-12,12941,"2019",2019,"MHI","Main Hawaiian Islands","Hawaii","HAW","HAW_KONA","HAW-04283","Forereef","Shallow",20.05691,-155.845,2.133495885,3.962207,"AGR"
"4929","SE1902_MHI_LEG2",2019-07-13,12958,"2019",2019,"MHI","Main Hawaiian Islands","Hawaii","HAW","HAW_PUNA","HAW-04221","Forereef","Mid",19.74576,-155.0666,7.619628162,6.400488,"AGR"
"4945","SE1902_MHI_LEG2",2019-07-13,12956,"2019",2019,"MHI","Main Hawaiian Islands","Hawaii","HAW","HAW_PUNA","HAW-04239","Forereef","Deep",19.8414,-155.0799,19.5062481,20.72539,"ROB"
"4951","SE1902_MHI_LEG2",2019-07-13,12957,"2019",2019,"MHI","Main Hawaiian Islands","Hawaii","HAW","HAW_PUNA","HAW-04237","Forereef","Mid",19.7479,-155.0893,7.314843036,8.533984,"ROB"
"4955","SE1902_MHI_LEG2",2019-07-14,12966,"2019",2019,"MHI","Main Hawaiian Islands","Hawaii","HAW","HAW_PUNA","HAW-04227","Forereef","Mid",19.54917,-154.8603,13.71533069,14.62969,"ROB"
"4957","SE1902_MHI_LEG2",2019-07-14,12971,"2019",2019,"MHI","Main Hawaiian Islands","Hawaii","HAW","HAW_PUNA","HAW-04232","Forereef","Deep",19.51626,-154.8042,21.03017373,22.85888,"ROB"
"4958","SE1902_MHI_LEG2",2019-07-14,12965,"2019",2019,"MHI","Main Hawaiian Islands","Hawaii","HAW","HAW_PUNA","HAW-04220","Forereef","Deep",19.53255,-154.8191,22.24931423,23.77324,"ROB"
"4961","SE1902_MHI_LEG2",2019-07-14,12974,"2019",2019,"MHI","Main Hawaiian Islands","Hawaii","HAW","HAW_PUNA","HAW-04208","Forereef","Shallow",19.58264,-154.9203,3.352636391,4.876562,"ROB"
"4975","SE1902_MHI_LEG2",2019-07-14,12967,"2019",2019,"MHI","Main Hawaiian Islands","Hawaii","HAW","HAW_PUNA","HAW-04249","Forereef","Shallow",19.57356,-154.9076,4.571776897,5.486132,"ROB"
"4992","SE1902_MHI_LEG2",2019-07-14,12972,"2019",2019,"MHI","Main Hawaiian Islands","Hawaii","HAW","HAW_PUNA","HAW-04224","Forereef","Mid",19.54227,-154.8433,10.66747943,13.10576,"ROB"
"5011","SE1902_MHI_LEG2",2019-07-14,12973,"2019",2019,"MHI","Main Hawaiian Islands","Hawaii","HAW","HAW_PUNA","HAW-04231","Forereef","Mid",19.55366,-154.8712,8.229198415,10.66748,"ROB"
"5044","SE1902_MHI_LEG2",2019-07-16,13012,"2019",2019,"MHI","Main Hawaiian Islands","Hawaii","HAW","HAW_KONA","HAW-04254","Forereef","Deep",19.85016,-155.9728,22.24931423,23.16367,"AGR"
