"","MISSIONID","DATE_","SITEVISITID","ANALYSIS_YEAR","OBS_YEAR","REGION","REGION_NAME","ISLAND","ISLANDCODE","SEC_NAME","SITE","REEF_ZONE","DEPTH_BIN","LATITUDE","LONGITUDE","MIN_DEPTH_M","MAX_DEPTH_M","HABITAT_CODE"
"5046","SE1902_MHI_LEG2",2019-07-16,13013,"2019",2019,"MHI","Main Hawaiian Islands","Hawaii","HAW","HAW_KONA","HAW-04240","Forereef","Shallow",19.82821,-156.0013,5.486132277,6.705273,"PAV"
"5054","SE1902_MHI_LEG2",2019-07-15,12997,"2019",2019,"MHI","Main Hawaiian Islands","Hawaii","HAW","HAW_HAMAKUA","HAW-04219","Forereef","Mid",20.19658,-155.7139,10.05790917,10.97226,"ROB"
"5055","SE1902_MHI_LEG2",2019-07-15,12998,"2019",2019,"MHI","Main Hawaiian Islands","Hawaii","HAW","HAW_HAMAKUA","HAW-04234","Forereef","Shallow",20.20178,-155.7246,4.266991771,5.790917,"ROB"
"5056","SE1902_MHI_LEG3",2019-07-26,13178,"2019",2019,"MHI","Main Hawaiian Islands","Niihau","NII","NII_WEST","NII-02584","Forereef","Mid",21.88445,-160.237,8.838768668,10.36269,"ROB"
"5058","SE1902_MHI_LEG3",2019-07-26,13180,"2019",2019,"MHI","Main Hawaiian Islands","Niihau","NII","NII_WEST","NII-02580","Forereef","Mid",21.95172,-160.1372,10.97226455,12.19141,"AGR"
"5059","SE1902_MHI_LEG3",2019-07-27,13205,"2019",2019,"MHI","Main Hawaiian Islands","Kauai","KAU","KAU_NAPALI","KAU-02166","Forereef","Shallow",22.11205,-159.7389,3.047851265,3.962207,"ROB"
"5064","SE1902_MHI_LEG3",2019-07-27,13204,"2019",2019,"MHI","Main Hawaiian Islands","Kauai","KAU","KAU_NAPALI","KAU-02160","Forereef","Mid",22.14699,-159.7503,14.9344712,15.84883,"AGR"
"5070","SE1902_MHI_LEG3",2019-07-27,13203,"2019",2019,"MHI","Main Hawaiian Islands","Kauai","KAU","KAU_NAPALI","KAU-02164","Forereef","Mid",22.16346,-159.7231,14.32490094,14.93447,"PAV"
"5078","SE1902_MHI_LEG2",2019-07-20,13074,"2019",2019,"MHI","Main Hawaiian Islands","Lanai","LAN","LAN_SOUTH","LAN-01809","Forereef","Deep",20.78013,-156.9922,18.59189272,19.20146,"ROB"
"5079","SE1902_MHI_LEG2",2019-07-20,13076,"2019",2019,"MHI","Main Hawaiian Islands","Lanai","LAN","LAN_SOUTH","LAN-01817","Forereef","Mid",20.84665,-157.0069,7.314843036,9.753124,"ROB"
"5080","SE1902_MHI_LEG2",2019-07-20,13073,"2019",2019,"MHI","Main Hawaiian Islands","Lanai","LAN","LAN_SOUTH","LAN-01815","Forereef","Shallow",20.8531,-157.0134,2.743066138,3.352636,"ROB"
"5106","SE1902_MHI_LEG3",2019-07-28,13218,"2019",2019,"MHI","Main Hawaiian Islands","Kauai","KAU","KAU_EAST","KAU-02118","Forereef","Deep",22.00211,-159.3225,21.03017373,21.63974,"PAV"
"5107","SE1902_MHI_LEG3",2019-07-28,13219,"2019",2019,"MHI","Main Hawaiian Islands","Kauai","KAU","KAU_EAST","KAU-02113","Forereef","Shallow",21.95643,-159.338,3.657421518,4.266992,"APR"
"5189","SE1902_MHI_LEG3",2019-08-03,13316,"2019",2019,"MHI","Main Hawaiian Islands","Oahu","OAH","OAH_NORTH","OAH-03112","Forereef","Deep",21.69581,-158.0381,23.16366961,23.46845,"PAV"
"5190","SE1902_MHI_LEG3",2019-08-03,13317,"2019",2019,"MHI","Main Hawaiian Islands","Oahu","OAH","OAH_NORTH","OAH-03234","Forereef","Mid",21.6841,-158.0423,7.924413289,8.533984,"PAV"
"5196","SE1902_MHI_LEG3",2019-08-03,13313,"2019",2019,"MHI","Main Hawaiian Islands","Oahu","OAH","OAH_NORTH","OAH-03233","Forereef","Mid",21.6561,-158.0636,7.619628162,8.229198,"PAV"
"5204","SE1902_MHI_LEG3",2019-08-03,13318,"2019",2019,"MHI","Main Hawaiian Islands","Oahu","OAH","OAH_NORTH","OAH-03243","Forereef","Shallow",21.62903,-158.0773,4.266991771,4.876562,"PAV"
"5206","SE1902_MHI_LEG3",2019-08-04,13339,"2019",2019,"MHI","Main Hawaiian Islands","Oahu","OAH","OAH_NE","OAH-03078","Forereef","Deep",21.50332,-157.7963,21.94452911,22.85888,"AGR"
"5227","SE1902_MHI_LEG3",2019-08-04,13340,"2019",2019,"MHI","Main Hawaiian Islands","Oahu","OAH","OAH_NE","OAH-03084","Forereef","Mid",21.5388,-157.8232,12.80097531,13.71533,"PAV"
"5230","SE1902_MHI_LEG3",2019-07-24,13116,"2019",2019,"MHI","Main Hawaiian Islands","Kauai","KAU","KAU_EAST","KAU-02115","Forereef","Mid",21.92762,-159.6524,9.448338921,9.753124,"PAV"
"5248","SE1902_MHI_LEG3",2019-07-25,13144,"2019",2019,"MHI","Main Hawaiian Islands","Niihau","NII","NII_EAST","NII-02504","Forereef","Deep",21.93035,-160.069,22.55409936,23.46845,"ROB"
"5249","SE1902_MHI_LEG3",2019-07-25,13145,"2019",2019,"MHI","Main Hawaiian Islands","Niihau","NII","NII_LEHUA","NII-02552","Forereef","Mid",22.00347,-160.0653,9.143553795,9.753124,"PAV"
"5314","SE1902_MHI_LEG2",2019-07-12,12937,"2019",2019,"MHI","Main Hawaiian Islands","Hawaii","HAW","HAW_KONA","HAW-04285","Backreef","Shallow",19.94928,-155.8663,1.219140506,1.523926,"AGR"
"5375","SE1902_MHI_LEG2",2019-07-19,13062,"2019",2019,"MHI","Main Hawaiian Islands","Hawaii","HAW","HAW_KONA","HAW-04259","Forereef","Deep",19.34035,-155.8879,21.63974398,22.24931,"AGR"
"5376","SE1902_MHI_LEG2",2019-07-19,13063,"2019",2019,"MHI","Main Hawaiian Islands","Hawaii","HAW","HAW_KONA","HAW-04292","Forereef","Mid",19.39182,-155.9089,12.49619019,13.41055,"AGR"
"5387","SE1902_MHI_LEG2",2019-07-20,13071,"2019",2019,"MHI","Main Hawaiian Islands","Lanai","LAN","LAN_SOUTH","LAN-01810","Forereef","Mid",20.8602,-157.0278,7.924413289,11.27705,"ROB"
"5406","SE1902_MHI_LEG2",2019-07-19,13064,"2019",2019,"MHI","Main Hawaiian Islands","Hawaii","HAW","HAW_KONA","HAW-04299","Forereef","Shallow",19.45127,-155.9219,3.657421518,4.266992,"AGR"
"5410","SE1902_MHI_LEG3",2019-07-31,13282,"2019",2019,"MHI","Main Hawaiian Islands","Oahu","OAH","OAH_NORTH","OAH-03122","Forereef","Deep",21.59214,-158.1466,18.89667784,19.50625,"AGR"
"5411","SE1902_MHI_LEG3",2019-07-31,13283,"2019",2019,"MHI","Main Hawaiian Islands","Oahu","OAH","OAH_KAENA","OAH-03057","Forereef","Mid",21.59125,-158.1847,13.71533069,14.02012,"PAV"
"5442","SE1902_MHI_LEG2",2019-07-17,13028,"2019",2019,"MHI","Main Hawaiian Islands","Hawaii","HAW","HAW_KONA","HAW-04264","Forereef","Shallow",19.55125,-155.966,3.962206644,6.400488,"ROB"
"5467","SE1902_MHI_LEG2",2019-07-16,13014,"2019",2019,"MHI","Main Hawaiian Islands","Hawaii","HAW","HAW_KONA","HAW-04241","Forereef","Shallow",19.79808,-156.0212,3.657421518,6.095703,"AGR"
"5468","SE1902_MHI_LEG2",2019-07-17,13022,"2019",2019,"MHI","Main Hawaiian Islands","Hawaii","HAW","HAW_KONA","HAW-04243","Forereef","Mid",19.60751,-155.9832,15.84882658,17.67754,"APS"
"5480","SE1902_MHI_LEG2",2019-07-17,13021,"2019",2019,"MHI","Main Hawaiian Islands","Hawaii","HAW","HAW_KONA","HAW-04304","Forereef","Deep",19.67338,-156.0341,23.77323987,25.29717,"RRB"
"5481","SE1902_MHI_LEG2",2019-07-17,13025,"2019",2019,"MHI","Main Hawaiian Islands","Hawaii","HAW","HAW_KONA","HAW-04296","Forereef","Deep",19.64188,-156.0136,22.24931423,22.85888,"RRB"
"5489","SE1902_MHI_LEG2",2019-07-17,13024,"2019",2019,"MHI","Main Hawaiian Islands","Hawaii","HAW","HAW_KONA","HAW-04280","Forereef","Shallow",19.57936,-155.9697,1.828710759,3.047851,"PAV"
"5493","SE1902_MHI_LEG2",2019-07-17,13027,"2019",2019,"MHI","Main Hawaiian Islands","Hawaii","HAW","HAW_KONA","HAW-04294","Forereef","Mid",19.56103,-155.9674,13.10576044,15.23926,"AGR"
"5530","SE1902_MHI_LEG3",2019-07-29,13235,"2019",2019,"MHI","Main Hawaiian Islands","Lanai","LAN","LAN_NORTH","LAN-01785","Forereef","Shallow",20.89738,-156.8684,5.486132277,6.400488,"AGR"
"5531","SE1902_MHI_LEG3",2019-08-06,13385,"2019",2019,"MHI","Main Hawaiian Islands","Maui","MAI","MAI_SE","MAI-02664","Forereef","Deep",20.62995,-156.1114,18.28710759,18.59189,"PSC"
"5533","SE1902_MHI_LEG3",2019-08-06,13387,"2019",2019,"MHI","Main Hawaiian Islands","Maui","MAI","MAI_SE","MAI-02686","Forereef","Shallow",20.58241,-156.3055,5.18134715,5.790917,"AGR"
"5543","SE1902_MHI_LEG2",2019-07-11,12928,"2019",2019,"MHI","Main Hawaiian Islands","Hawaii","HAW","HAW_KONA","HAW-04277","Forereef","Mid",19.07632,-155.905,11.27704968,12.49619,"AGR"
"5674","SE1902_MHI_LEG2",2019-07-17,13026,"2019",2019,"MHI","Main Hawaiian Islands","Hawaii","HAW","HAW_KONA","HAW-04268","Forereef","Mid",19.56698,-155.9704,7.924413289,9.753124,"RRB"
"5690","SE1902_MHI_LEG3",2019-07-26,13177,"2019",2019,"MHI","Main Hawaiian Islands","Niihau","NII","NII_WEST","NII-02572","Forereef","Deep",21.84267,-160.2518,23.46845474,24.38281,"ROB"
"5715","SE1902_MHI_LEG3",2019-07-27,13201,"2019",2019,"MHI","Main Hawaiian Islands","Kauai","KAU","KAU_NAPALI","KAU-02145","Forereef","Deep",22.20357,-159.6348,26.516306,27.43066,"PAV"
"5775","SE1902_MHI_LEG3",2019-08-02,13301,"2019",2019,"MHI","Main Hawaiian Islands","Oahu","OAH","OAH_KAENA","OAH-03052","Forereef","Mid",21.57079,-158.277,8.533983542,9.448339,"ROB"
"5792","SE1902_MHI_LEG3",2019-08-02,13293,"2019",2019,"MHI","Main Hawaiian Islands","Oahu","OAH","OAH_KAENA","OAH-04000","Forereef","Deep",21.5593,-158.2641,18.89667784,19.81103,"PAV"
"5794","SE1902_MHI_LEG3",2019-08-02,13302,"2019",2019,"MHI","Main Hawaiian Islands","Oahu","OAH","OAH_KAENA","OAH-03065","Forereef","Shallow",21.56157,-158.2609,3.657421518,6.705273,"ROB"
"5799","SE1902_MHI_LEG3",2019-08-02,13294,"2019",2019,"MHI","Main Hawaiian Islands","Oahu","OAH","OAH_KAENA","OAH-04001","Forereef","Shallow",21.57043,-158.2724,2.133495885,3.047851,"ROB"
"5803","SE1902_MHI_LEG3",2019-08-02,13295,"2019",2019,"MHI","Main Hawaiian Islands","Oahu","OAH","OAH_SOUTH","OAH-03279","Forereef","Mid",21.52381,-158.234,14.02011582,14.3249,"PAV"
"5804","SE1902_MHI_LEG3",2019-08-02,13303,"2019",2019,"MHI","Main Hawaiian Islands","Oahu","OAH","OAH_SOUTH","OAH-04002","Forereef","Shallow",21.50244,-158.2323,5.486132277,6.095703,"PAV"
"5854","SE1902_MHI_LEG3",2019-07-30,13252,"2019",2019,"MHI","Main Hawaiian Islands","Oahu","OAH","OAH_SOUTH","OAH-03262","Forereef","Deep",21.28791,-158.1142,20.7253886,21.94453,"PAV"
"5857","SE1902_MHI_LEG3",2019-08-03,13314,"2019",2019,"MHI","Main Hawaiian Islands","Oahu","OAH","OAH_NORTH","OAH-03232","Forereef","Mid",21.63331,-158.0796,7.924413289,8.229198,"PAV"
"5969","SE1902_MHI_LEG3",2019-07-30,13259,"2019",2019,"MHI","Main Hawaiian Islands","Oahu","OAH","OAH_SOUTH","OAH-03296","Forereef","Shallow",21.42769,-158.183,5.790917403,6.095703,"PSC"
"5972","SE1902_MHI_LEG3",2019-07-30,13256,"2019",2019,"MHI","Main Hawaiian Islands","Oahu","OAH","OAH_SOUTH","OAH-03293","Forereef","Deep",21.30693,-158.1264,20.42060347,21.94453,"PAV"
"5973","SE1902_MHI_LEG3",2019-07-30,13257,"2019",2019,"MHI","Main Hawaiian Islands","Oahu","OAH","OAH_SOUTH","OAH-03000","Forereef","Mid",21.38015,-158.1526,9.143553795,9.753124,"PAV"
"5974","SE1902_MHI_LEG3",2019-07-30,13253,"2019",2019,"MHI","Main Hawaiian Islands","Oahu","OAH","OAH_SOUTH","OAH-03272","Forereef","Mid",21.32858,-158.1273,6.705272783,7.619628,"AGR"
"5992","SE1902_MHI_LEG3",2019-07-31,13284,"2019",2019,"MHI","Main Hawaiian Islands","Oahu","OAH","OAH_KAENA","OAH-03051","Forereef","Shallow",21.58246,-158.2182,5.18134715,5.790917,"SCR"
"5993","SE1902_MHI_LEG3",2019-07-31,13281,"2019",2019,"MHI","Main Hawaiian Islands","Oahu","OAH","OAH_NORTH","OAH-03235","Forereef","Mid",21.60814,-158.1081,7.924413289,8.229198,"PAV"
"6028","SE1902_MHI_LEG2",2019-07-20,13072,"2019",2019,"MHI","Main Hawaiian Islands","Lanai","LAN","LAN_SOUTH","LAN-01823","Forereef","Shallow",20.86561,-157.0379,2.743066138,3.657422,"ROB"
"6029","SE1902_MHI_LEG2",2019-07-20,13075,"2019",2019,"MHI","Main Hawaiian Islands","Lanai","LAN","LAN_SOUTH","LAN-01813","Forereef","Mid",20.82092,-156.9907,12.49619019,13.41055,"ROB"
"6033","SE1902_MHI_LEG2",2019-07-20,13077,"2019",2019,"MHI","Main Hawaiian Islands","Lanai","LAN","LAN_SOUTH","LAN-01811","Forereef","Shallow",20.88344,-157.057,2.133495885,2.743066,"ROB"
"6036","SE1902_MHI_LEG3",2019-07-24,13114,"2019",2019,"MHI","Main Hawaiian Islands","Kauai","KAU","KAU_EAST","KAU-02127","Forereef","Mid",21.93415,-159.6624,6.400487656,7.619628,"PAV"
"6098","SE1902_MHI_LEG3",2019-07-30,13255,"2019",2019,"MHI","Main Hawaiian Islands","Oahu","OAH","OAH_SOUTH","OAH-03286","Forereef","Shallow",21.35055,-158.1309,1.828710759,3.657422,"AGR"
"6127","SE1902_MHI_LEG3",2019-07-30,13254,"2019",2019,"MHI","Main Hawaiian Islands","Oahu","OAH","OAH_SOUTH","OAH-03267","Forereef","Mid",21.36308,-158.1363,7.924413289,9.143554,"PAV"
"6153","SE1902_MHI_LEG3",2019-08-04,13342,"2019",2019,"MHI","Main Hawaiian Islands","Oahu","OAH","OAH_NE","OAH-03088","Forereef","Deep",21.61852,-157.8952,23.16366961,23.46845,"PAV"
"6167","SE1902_MHI_LEG3",2019-08-04,13341,"2019",2019,"MHI","Main Hawaiian Islands","Oahu","OAH","OAH_NE","OAH-03087","Forereef","Mid",21.58535,-157.8658,13.71533069,14.62969,"PAV"
"6171","SE1902_MHI_LEG3",2019-08-05,13355,"2019",2019,"MHI","Main Hawaiian Islands","Oahu","OAH","OAH_SOUTH","OAH-03265","Forereef","Mid",21.25686,-157.7626,15.84882658,16.4584,"PAV"
"6180","SE1902_MHI_LEG3",2019-08-05,13352,"2019",2019,"MHI","Main Hawaiian Islands","Oahu","OAH","OAH_SOUTH","OAH-03259","Forereef","Deep",21.25259,-157.7507,23.46845474,23.77324,"SCR"
"6182","SE1902_MHI_LEG3",2019-08-05,13357,"2019",2019,"MHI","Main Hawaiian Islands","Oahu","OAH","OAH_SOUTH","OAH-03284","Forereef","Shallow",21.26746,-157.8296,5.790917403,6.400488,"SCR"
"6183","SE1902_MHI_LEG3",2019-08-05,13353,"2019",2019,"MHI","Main Hawaiian Islands","Oahu","OAH","OAH_SOUTH","OAH-03301","Forereef","Shallow",21.26962,-157.7579,3.962206644,4.876562,"AGR"
"6208","SE1902_MHI_LEG3",2019-07-29,13234,"2019",2019,"MHI","Main Hawaiian Islands","Lanai","LAN","LAN_NORTH","LAN-01767","Forereef","Deep",20.92249,-156.8962,19.20146297,19.81103,"AGR"
"6246","SE1902_MHI_LEG2",2019-07-16,13015,"2019",2019,"MHI","Main Hawaiian Islands","Hawaii","HAW","HAW_KONA","HAW-04260","Forereef","Shallow",19.78536,-156.0421,3.962206644,5.181347,"PAV"
"6282","SE1902_MHI_LEG3",2019-07-25,13147,"2019",2019,"MHI","Main Hawaiian Islands","Niihau","NII","NII_LEHUA","NII-02559","Forereef","Shallow",21.99552,-160.1148,3.352636391,4.571777,"PAV"
"6287","SE1902_MHI_LEG3",2019-07-25,13148,"2019",2019,"MHI","Main Hawaiian Islands","Niihau","NII","NII_WEST","NII-02594","Forereef","Mid",21.9701,-160.1269,13.71533069,14.3249,"PAV"
"6340","SE1902_MHI_LEG2",2019-07-11,12926,"2019",2019,"MHI","Main Hawaiian Islands","Hawaii","HAW","HAW_KONA","HAW-04300","Forereef","Deep",19.19076,-155.9086,17.67753734,21.33496,"AGR"
"6508","SE1902_MHI_LEG3",2019-08-06,13373,"2019",2019,"MHI","Main Hawaiian Islands","Maui","MAI","MAI_SE","MAI-02706","Forereef","Mid",20.62684,-156.1176,15.84882658,16.4584,"ROB"
"6586","SE1902_MHI_LEG2",2019-07-15,12996,"2019",2019,"MHI","Main Hawaiian Islands","Hawaii","HAW","HAW_HAMAKUA","HAW-04222","Forereef","Deep",20.1927,-155.701,21.03017373,21.63974,"ROB"
"6593","SE1902_MHI_LEG2",2019-07-15,12999,"2019",2019,"MHI","Main Hawaiian Islands","Hawaii","HAW","HAW_HAMAKUA","HAW-04203","Forereef","Shallow",20.24604,-155.7834,3.352636391,4.571777,"ROB"
"6816","SE1902_MHI_LEG3",2019-08-06,13374,"2019",2019,"MHI","Main Hawaiian Islands","Maui","MAI","MAI_SE","MAI-02666","Forereef","Deep",20.59387,-156.2722,18.59189272,19.50625,"AGR"
"6836","SE1902_MHI_LEG3",2019-08-06,13375,"2019",2019,"MHI","Main Hawaiian Islands","Maui","MAI","MAI_SE","MAI-02709","Forereef","Shallow",20.59311,-156.2798,4.571776897,6.095703,"PAV"
"6972","SE1902_MHI_LEG3",2019-08-05,13354,"2019",2019,"MHI","Main Hawaiian Islands","Oahu","OAH","OAH_SOUTH","OAH-03292","Forereef","Shallow",21.27008,-157.8273,3.962206644,4.571777,"PAV"
"6991","SE1902_MHI_LEG3",2019-08-06,13386,"2019",2019,"MHI","Main Hawaiian Islands","Maui","MAI","MAI_SE","MAI-02685","Forereef","Mid",20.6069,-156.2414,14.9344712,16.15361,"AGR"
"7075","SE1902_MHI_LEG3",2019-07-24,13113,"2019",2019,"MHI","Main Hawaiian Islands","Kauai","KAU","KAU_EAST","KAU-02119","Forereef","Mid",21.88887,-159.5722,15.54404145,16.15361,"PAV"
"7085","SE1902_MHI_LEG3",2019-08-03,13312,"2019",2019,"MHI","Main Hawaiian Islands","Oahu","OAH","OAH_NORTH","OAH-03110","Forereef","Deep",21.67636,-158.0595,21.03017373,22.24931,"PAV"
"7191","SE1902_MHI_LEG3",2019-07-24,13115,"2019",2019,"MHI","Main Hawaiian Islands","Kauai","KAU","KAU_EAST","KAU-02105","Forereef","Deep",21.91305,-159.6592,22.55409936,22.85888,"PAV"
"7744","SE1902_MHI_LEG3",2019-08-03,13315,"2019",2019,"MHI","Main Hawaiian Islands","Oahu","OAH","OAH_NORTH","OAH-03242","Forereef","Shallow",21.61756,-158.0918,3.657421518,3.962207,"PAV"
"7765","SE1902_MHI_LEG3",2019-07-24,13112,"2019",2019,"MHI","Main Hawaiian Islands","Kauai","KAU","KAU_EAST","KAU-02101","Forereef","Deep",21.87541,-159.523,19.5062481,20.72539,"PAV"
"7865","SE1902_MHI_LEG3",2019-08-05,13356,"2019",2019,"MHI","Main Hawaiian Islands","Oahu","OAH","OAH_SOUTH","OAH-03288","Forereef","Shallow",21.24956,-157.8083,5.486132277,5.790917,"PAV"
"8053","SE1902_MHI_LEG3",2019-07-30,13258,"2019",2019,"MHI","Main Hawaiian Islands","Oahu","OAH","OAH_SOUTH","OAH-03282","Forereef","Mid",21.3991,-158.1805,9.753124048,10.36269,"PAV"
"8147","SE1902_MHI_LEG3",2019-07-24,13117,"2019",2019,"MHI","Main Hawaiian Islands","Kauai","KAU","KAU_EAST","KAU-02128","Forereef","Mid",21.95313,-159.7058,7.619628162,7.924413,"PAV"
"8205","SE1902_MHI_LEG2",2019-07-17,13023,"2019",2019,"MHI","Main Hawaiian Islands","Hawaii","HAW","HAW_KONA","HAW-04287","Forereef","Shallow",19.59316,-155.9719,2.743066138,3.352636,"PAV"
"8281","SE1902_MHI_LEG3",2019-07-25,13146,"2019",2019,"MHI","Main Hawaiian Islands","Niihau","NII","NII_LEHUA","NII-02547","Forereef","Mid",22.01388,-160.0995,13.71533069,14.3249,"PAV"
"10328","SE1902_MHI_LEG2",2019-07-13,12959,"2019",2019,"MHI","Main Hawaiian Islands","Hawaii","HAW","HAW_PUNA","HAW-04247","Forereef","Shallow",19.73174,-155.0681,1.523925632,3.657422,"AGR"
"12794","SE1902_MHI_LEG2",2019-07-20,13070,"2019",2019,"MHI","Main Hawaiian Islands","Lanai","LAN","LAN_SOUTH","LAN-01818","Forereef","Shallow",20.83711,-156.9989,5.486132277,6.095703,"ROB"
"12801","SE1902_MHI_LEG3",2019-07-26,13179,"2019",2019,"MHI","Main Hawaiian Islands","Niihau","NII","NII_WEST","NII-02583","Forereef","Mid",21.91576,-160.2059,10.66747943,11.58183,"PAV"
"12805","SE1902_MHI_LEG3",2019-07-27,13202,"2019",2019,"MHI","Main Hawaiian Islands","Kauai","KAU","KAU_NAPALI","KAU-02146","Forereef","Deep",22.17117,-159.6923,20.11581835,21.33496,"PAV"
